rm -f vcs/dump.fsdb
python3 /home/maxma2/Documents/ECE511/mp3/sim/../bin/get_options.py clock
2000
cp ../inputs_* vcs/
cd vcs && ./top_tb -l simulation.log -exitstatus -suppress=ASLR_DETECTED_INFO \
	+TIMEOUT_ECE511=40000 \
	+CLOCK_PERIOD_PS_ECE511=2000
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Mar 23 15:56 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09, Linux x86_64/64bit, 08/17/2024
(C) 1996 - 2024 by Synopsys, Inc.
*Verdi* : Create FSDB file 'dump.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
Time: 4099000, Core 1: State: CPU_READ, addr: 44, wdata: 0
Time: 4101000, Core 3: State: CPU_WRITE, addr: 23, wdata: 160
Time: 4105000, Core 2: State: CPU_READ, addr: 63, wdata: 0
Time: 4119000, Core 0: State: CPU_WRITE, addr: 20, wdata: 135
Time: 4125000, Core 1: State: CPU_READ, addr: 63, wdata: 0
Time: 4141000, Core 3: State: CPU_WRITE, addr: 1, wdata: 160
Time: 4163000, Core 2: State: CPU_WRITE, addr: 58, wdata: 160
Time: 4165000, Core 0: State: CPU_READ, addr: 40, wdata: 0
Time: 4175000, Core 1: State: CPU_READ, addr: 0, wdata: 0
Time: 4183000, Core 3: State: CPU_WRITE, addr: 43, wdata: 34
Time: 4195000, Core 1: State: CPU_READ, addr: 40, wdata: 0
Time: 4203000, Core 2: State: CPU_WRITE, addr: 29, wdata: 152
Time: 4213000, Core 0: State: CPU_READ, addr: 8, wdata: 0
Time: 4231000, Core 3: State: CPU_READ, addr: 0, wdata: 0
Time: 4247000, Core 1: State: CPU_READ, addr: 38, wdata: 0
Time: 4249000, Core 2: State: CPU_READ, addr: 7, wdata: 0
Time: 4257000, Core 3: State: CPU_WRITE, addr: 57, wdata: 118
Time: 4261000, Core 0: State: CPU_READ, addr: 63, wdata: 0
Time: 4275000, Core 2: State: CPU_WRITE, addr: 39, wdata: 158
Time: 4285000, Core 0: State: CPU_WRITE, addr: 21, wdata: 197
Time: 4291000, Core 1: State: CPU_WRITE, addr: 2, wdata: 122
Time: 4303000, Core 3: State: CPU_WRITE, addr: 22, wdata: 10
Time: 4323000, Core 2: State: CPU_READ, addr: 1, wdata: 0
Time: 4333000, Core 0: State: CPU_WRITE, addr: 25, wdata: 134
Time: 4341000, Core 1: State: CPU_READ, addr: 57, wdata: 0
Time: 4351000, Core 3: State: CPU_WRITE, addr: 56, wdata: 210
Time: 4369000, Core 2: State: CPU_WRITE, addr: 45, wdata: 101
Time: 4381000, Core 0: State: CPU_READ, addr: 5, wdata: 0
Time: 4387000, Core 1: State: CPU_WRITE, addr: 49, wdata: 241
Time: 4401000, Core 3: State: CPU_READ, addr: 52, wdata: 0
Time: 4411000, Core 1: State: CPU_READ, addr: 31, wdata: 0
Time: 4417000, Core 2: State: CPU_READ, addr: 8, wdata: 0
Time: 4429000, Core 0: State: CPU_READ, addr: 39, wdata: 0
Time: 4435000, Core 1: State: CPU_READ, addr: 14, wdata: 0
Time: 4441000, Core 2: State: CPU_WRITE, addr: 58, wdata: 57
Time: 4445000, Core 2: State: CPU_WRITE, addr: 1, wdata: 85
Time: 4447000, Core 3: State: CPU_READ, addr: 32, wdata: 0
Time: 4453000, Core 0: State: CPU_WRITE, addr: 0, wdata: 95
Time: 4477000, Core 0: State: CPU_READ, addr: 33, wdata: 0
Time: 4487000, Core 1: State: CPU_WRITE, addr: 39, wdata: 71
Time: 4489000, Core 2: State: CPU_READ, addr: 58, wdata: 0
Time: 4495000, Core 2: State: CPU_READ, addr: 12, wdata: 0
Time: 4501000, Core 3: State: CPU_WRITE, addr: 33, wdata: 28
Time: 4515000, Core 2: State: CPU_WRITE, addr: 1, wdata: 231
Time: 4519000, Core 2: State: CPU_WRITE, addr: 46, wdata: 123
Time: 4521000, Core 3: State: CPU_READ, addr: 58, wdata: 0
Time: 4525000, Core 0: State: CPU_READ, addr: 16, wdata: 0
Time: 4531000, Core 1: State: CPU_READ, addr: 14, wdata: 0
Time: 4535000, Core 1: State: CPU_WRITE, addr: 7, wdata: 90
Time: 4563000, Core 2: State: CPU_READ, addr: 11, wdata: 0
Time: 4567000, Core 3: State: CPU_READ, addr: 28, wdata: 0
Time: 4573000, Core 0: State: CPU_READ, addr: 32, wdata: 0
Time: 4579000, Core 1: State: CPU_WRITE, addr: 58, wdata: 167
Time: 4587000, Core 2: State: CPU_READ, addr: 42, wdata: 0
Time: 4615000, Core 3: State: CPU_READ, addr: 52, wdata: 0
Time: 4627000, Core 0: State: CPU_WRITE, addr: 38, wdata: 180
Time: 4627000, Core 1: State: CPU_WRITE, addr: 9, wdata: 105
Time: 4635000, Core 2: State: CPU_WRITE, addr: 31, wdata: 89
Time: 4665000, Core 3: State: CPU_WRITE, addr: 17, wdata: 213
Time: 4671000, Core 0: State: CPU_READ, addr: 37, wdata: 0
Time: 4677000, Core 1: State: CPU_WRITE, addr: 17, wdata: 245
Time: 4681000, Core 2: State: CPU_WRITE, addr: 30, wdata: 246
Time: 4687000, Core 3: State: CPU_READ, addr: 2, wdata: 0
Time: 4693000, Core 0: State: CPU_WRITE, addr: 24, wdata: 238
Time: 4711000, Core 3: State: CPU_READ, addr: 7, wdata: 0
Time: 4723000, Core 1: State: CPU_READ, addr: 48, wdata: 0
Time: 4733000, Core 2: State: CPU_WRITE, addr: 11, wdata: 55
Time: 4743000, Core 0: State: CPU_READ, addr: 24, wdata: 0
Time: 4747000, Core 0: State: CPU_READ, addr: 4, wdata: 0
Time: 4759000, Core 3: State: CPU_READ, addr: 47, wdata: 0
Time: 4771000, Core 1: State: CPU_READ, addr: 14, wdata: 0
Time: 4777000, Core 2: State: CPU_WRITE, addr: 29, wdata: 43
Time: 4785000, Core 3: State: CPU_READ, addr: 57, wdata: 0
Time: 4791000, Core 0: State: CPU_READ, addr: 8, wdata: 0
Time: 4809000, Core 3: State: CPU_READ, addr: 53, wdata: 0
Time: 4821000, Core 1: State: CPU_WRITE, addr: 39, wdata: 128
Time: 4825000, Core 2: State: CPU_READ, addr: 63, wdata: 0
Time: 4833000, Core 3: State: CPU_WRITE, addr: 51, wdata: 40
Time: 4837000, Core 0: State: CPU_WRITE, addr: 2, wdata: 151
Time: 4843000, Core 1: State: CPU_READ, addr: 11, wdata: 0
Time: 4875000, Core 2: State: CPU_READ, addr: 52, wdata: 0
Time: 4879000, Core 3: State: CPU_WRITE, addr: 53, wdata: 7
Time: 4883000, Core 3: State: CPU_READ, addr: 25, wdata: 0
Time: 4885000, Core 0: State: CPU_WRITE, addr: 24, wdata: 115
Time: 4893000, Core 1: State: CPU_READ, addr: 33, wdata: 0
Time: 4911000, Core 0: State: CPU_WRITE, addr: 43, wdata: 78
Time: 4925000, Core 2: State: CPU_WRITE, addr: 43, wdata: 149
Time: 4927000, Core 3: State: CPU_READ, addr: 37, wdata: 0
Time: 4935000, Core 0: State: CPU_READ, addr: 21, wdata: 0
Time: 4941000, Core 1: State: CPU_READ, addr: 36, wdata: 0
Time: 4947000, Core 2: State: CPU_READ, addr: 44, wdata: 0
